idCliente,nome,cpf,dataNascimento,cidade,estado,cep
1,"Joana Beltrão Neto",73753401325,"1993-10-13 00:00:00","São Sebastião do Passé",Tocantins,94199-635
2,"Louise Ribas",20316338077,"1996-07-14 00:00:00",Itaubal,Maranhão,66103-158
3,"Arthur Henrique Novaes",40364163526,"1960-04-20 00:00:00","Lagoa Formosa",Maranhão,37648-672
4,"Srta. Célia da Maia",17767508721,"1997-08-25 00:00:00","São José do Bonfim","Mato Grosso do Sul",15556-084
5,"Carlos Eduardo Nunes Neto",68040290201,"1981-03-14 00:00:00","Lagoa dos Gatos",Amapá,37678-226
6,"Sara Santana",20853061798,"1954-07-20 00:00:00",Itamaracá,Goiás,36212-981
7,"Gabriel Geraldes Neto",32493995327,"1987-06-09 00:00:00","Presidente Venceslau","Mato Grosso do Sul",88704-737
8,"Ígor da Paz",59816882107,"1991-11-18 00:00:00","Pastos Bons","Espírito Santo",37008-925
9,"Fabrícia Guedes",46039410180,"1972-02-22 00:00:00",Ocara,Paraíba,78184-666
10,"Maria Clara da Mata",25697383701,"1983-11-27 00:00:00",Ipupiara,"São Paulo",38541-383
11,"Ofélia Ouriques",10234954218,"1975-07-18 00:00:00",Dracena,Paraná,21759-956
12,"Vinicius Fontes",4164138310,"1971-05-26 00:00:00","Juazeiro do Piauí",Acre,63462-840
13,"Luiza Viveiros",60132919371,"1995-02-28 00:00:00","Desterro de Entre Rios",Piauí,80078-211
14,"Márcia Bulhões Jr.",43022383476,"1992-12-02 00:00:00","Carmo da Cachoeira","Rio Grande do Sul",79020-084
15,"Kauê Ribeira",82761176427,"1978-11-24 00:00:00",Valparaíso,Paraná,59580-170
16,"Lavínia Farias Filho",34251172718,"1983-04-25 00:00:00","São Francisco de Itabapoana",Pará,64937-479
17,"Heitor Brum Filho",20003126517,"1983-08-02 00:00:00","Boa Vista do Tupim",Paraná,40079-050
18,"Fabiano Araújo",17559909917,"1991-01-22 00:00:00","São Sebastião do Caí",Paraíba,90734-162
19,"Heitor Barreto",67644925310,"1964-01-01 00:00:00",Cidelândia,"São Paulo",96605-441
20,"Antonia Nogueira",6591774821,"1984-03-28 00:00:00",Diamante,"Santa Catarina",25989-778
21,"Ana Sophia Grotas Jr.",61873113037,"1985-10-05 00:00:00",Sulina,Pará,48634-863
22,"Melissa Velasques",23462268722,"1983-12-12 00:00:00","Neves Paulista",Ceará,81394-724
23,"Helena Gonçalves",16805786511,"1976-02-12 00:00:00","Nova Roma",Ceará,66025-199
24,"Feliciano da Gama",77610720094,"1955-08-21 00:00:00",Lajedo,"Santa Catarina",78515-655
25,"Dr. Lucas Gabriel Castanheira",27036810126,"1962-12-15 00:00:00",Coqueiral,Pará,14015-680
26,"Dalila Longuinho",86274467706,"1964-11-21 00:00:00",Piracema,Paraná,94006-395
27,"Srta. Carla Campos",36143233174,"1998-10-24 00:00:00","Riachão das Neves",Bahia,62688-311
28,"Sra. Aline da Fonseca",21072732152,"1963-09-26 00:00:00",Catuípe,"Rio Grande do Norte",29846-473
29,"Norberto Fontes",92840278062,"1996-01-02 00:00:00","Alto Parnaíba",Rondônia,93720-954
30,"João Samuel Bulhões",6559310821,"1999-12-07 00:00:00",Guanambi,"Mato Grosso",88603-605
31,"Ana Cecília Filgueira",40708724583,"1975-12-11 00:00:00",Manaus,Acre,89545-213
32,"Sr. Antonella Reis",78952152938,"1954-02-25 00:00:00",Maracaju,"Santa Catarina",80133-348
33,"Isadora Rebouças Jr.",58068293296,"1988-03-16 00:00:00",Bayeux,"Mato Grosso do Sul",40065-546
34,"Ana Cecília Rebouças Jr.",2333171496,"1975-09-15 00:00:00",Óleo,Acre,17798-972
35,"Arthur Gabriel Godinho",75430405615,"1987-08-29 00:00:00",Cidelândia,Tocantins,88348-234
36,"Davi Miguel Farias",56586604468,"1958-03-15 00:00:00",Silvanópolis,"Distrito Federal",49272-092
37,"Benjamin Passarinho",26008843309,"1993-12-10 00:00:00",Dionísio,Tocantins,82798-808
38,"Francisco Garcez Jr.",30585791319,"1960-08-31 00:00:00",Jaguaruana,Bahia,56390-431
39,"Carlos Eduardo da Costa",86965667852,"2001-01-27 00:00:00","São Pedro da Cipa",Piauí,43725-606
40,"Levi Brum",50012767350,"1967-07-01 00:00:00",Ibicaraí,"Rio Grande do Norte",76626-416
41,"Igor da Silva",54030861651,"1966-11-25 00:00:00","Roque Gonzales",Acre,30137-605
42,"Elisa Quarteira",70053814371,"1957-07-28 00:00:00",Corumbaíba,Tocantins,94917-959
43,"Dr. Luiz Gustavo Veles",64426553933,"1974-06-04 00:00:00","Neves Paulista","São Paulo",88313-326
44,"Maria Júlia Braga Filho",72706936230,"1995-11-27 00:00:00",Silvianópolis,Pará,97664-876
45,"Carolina Neves",14068445683,"1987-02-22 00:00:00","Pedro Laurentino","Mato Grosso",40045-769
46,"Dr. Stella Pinheira",30733069710,"1967-04-11 00:00:00",Tapiramutá,Alagoas,48165-114
47,"Dra. Maria Eduarda Nascimento",20051772430,"1993-01-08 00:00:00","Amaral Ferrador","Mato Grosso do Sul",25360-341
48,"Matheus Goulart Jr.",30662653411,"1984-08-27 00:00:00",Rancharia,Rondônia,76512-148
49,"Guilherme Porto Jr.",83652516345,"1983-04-30 00:00:00",Chapada,Maranhão,61761-274
50,"Isabelly Xavier",87147078384,"2001-05-06 00:00:00",Itatim,Sergipe,42174-131
51,"Sophie Barata Jr.",17453285222,"1975-05-11 00:00:00","Teresina de Goiás",Roraima,31767-060
52,"Valentina Passarinho",13230478173,"1999-05-26 00:00:00","Nossa Senhora da Glória","Mato Grosso do Sul",01525-043
53,"Paulo Rios Filho",67806892220,"1973-12-30 00:00:00",Apiacás,Acre,15738-206
54,"Dr. Maria Júlia Bittencourt",92595603472,"1997-12-17 00:00:00","Santa Maria de Itabira","Rio Grande do Sul",32288-129
55,"Malu Aparício",58083872245,"1966-08-07 00:00:00",Arvoredo,"Mato Grosso",94484-910
56,"Luiz Gustavo Moreira",689845964,"1962-10-22 00:00:00",Potiretama,Acre,11934-098
57,"Dr. Emanuelly Raia",34222544736,"1991-07-07 00:00:00",Lidianópolis,Paraíba,36210-176
58,"Srta. Vitória Quarteira",72577543802,"1989-01-30 00:00:00",Itacoatiara,Bahia,20505-631
59,"Dra. Camila Gentil",79430780855,"1988-09-30 00:00:00",Barcelos,"Minas Gerais",56924-802
60,"Silas Louzada",84476413419,"2001-08-26 00:00:00",Lagoa,"Rio Grande do Sul",96354-370
61,"Clara Moreira",39667472716,"1993-05-25 00:00:00","São Carlos",Paraíba,53900-981
